"Horas_Estudio","Asistencia","Involucramiento_Parental","Acceso_Recursos","Actividades_Extracurriculares","Horas_Sueno","Puntuaciones_Previas","Nivel_Motivacion","Acceso_Internet","Sesiones_Tutoria","Ingresos_Familiares","Calidad_Profesor","Tipo_Escuela","Influencia_Companeros","Actividad_Fisica","Discapacidades_Aprendizaje","Nivel_Educativo_Padres","Distancia_Hogar","Sexo","Puntuacion_Examen"
21,94,"Alto","Medio","Si",8,100,"Baja","Si",0,"Bajo","Media","Publica","Neutral",3,"No","Postgrado","Cerca","Masculino",72
29,80,"Medio","Medio","Si",6,71,"Media","Si",0,"Medio","Media","Publica","Positiva",3,"No","Universitaria","Moderado","Femenino",70
19,90,"Alto","Medio","Si",5,85,"Alta","Si",0,"Medio","Alta","Privada","Positiva",5,"No","Postgrado","Cerca","Femenino",73
22,66,"Medio","Alto","No",8,95,"Baja","Si",3,"Medio","Media","Privada","Positiva",3,"No","Secundaria","Moderado","Femenino",67
24,70,"Medio","Alto","No",5,62,"Media","Si",2,"Bajo","Media","Privada","Negativa",4,"Si","Universitaria","Cerca","Masculino",65
21,89,"Medio","Medio","No",4,57,"Media","Si",1,"Alto","Media","Privada","Positiva",2,"No","Secundaria","Cerca","Femenino",68
17,67,"Bajo","Alto","Si",9,62,"Alta","Si",3,"Medio","Media","Publica","Positiva",3,"No","Secundaria","Cerca","Masculino",65
21,74,"Alto","Medio","No",6,94,"Media","Si",1,"Bajo","Alta","Publica","Positiva",1,"No","Secundaria","Cerca","Masculino",97
26,71,"Alto","Bajo","Si",4,83,"Baja","Si",1,"Medio","Media","Publica","Negativa",3,"No","Universitaria","Moderado","Masculino",66
14,74,"Alto","Alto","Si",6,73,"Alta","Si",2,"Medio","Media","Privada","Neutral",3,"No","Secundaria","Cerca","Femenino",67
21,88,"Alto","Medio","No",6,91,"Media","Si",2,"Alto","Media","Publica","Neutral",1,"No","Secundaria","Moderado","Femenino",70
16,75,"Alto","Medio","Si",9,62,"Media","Si",3,"Bajo","Media","Publica","Positiva",4,"No","Secundaria","Moderado","Femenino",66
27,82,"Medio","Alto","Si",5,62,"Baja","Si",1,"Bajo","Alta","Privada","Neutral",4,"No","Secundaria","Moderado","Femenino",69
11,64,"Alto","Medio","Si",5,78,"Baja","Si",2,"Bajo","Alta","Privada","Neutral",4,"No","Universitaria","Moderado","Masculino",62
17,92,"Medio","Bajo","Si",8,90,"Alta","Si",1,"Alto","Baja","Publica","Negativa",3,"No","Secundaria","Cerca","Masculino",68
22,75,"Medio","Alto","Si",6,63,"Baja","Si",1,"Bajo","Media","Publica","Positiva",2,"No","Universitaria","Cerca","Masculino",67
29,86,"Medio","Medio","Si",7,61,"Media","Si",0,"Medio","Media","Publica","Negativa",4,"No","Secundaria","Lejos","Femenino",68
20,89,"Alto","Medio","Si",6,74,"Media","Si",1,"Bajo","Alta","Privada","Neutral",2,"No","Secundaria","Moderado","Masculino",69
17,68,"Medio","Medio","Si",10,57,"Media","Si",1,"Alto","Media","Privada","Positiva",1,"Si","Secundaria","Moderado","Femenino",62
31,95,"Alto","Medio","Si",5,87,"Media","Si",2,"Bajo","Media","Publica","Neutral",3,"No","Postgrado","Moderado","Masculino",75
11,85,"Medio","Medio","No",7,79,"Baja","Si",2,"Alto","Baja","Publica","Positiva",3,"No","Secundaria","Cerca","Masculino",65
7,77,"Alto","Medio","No",9,76,"Media","Si",2,"Medio","Alta","Publica","Negativa",3,"No","Universitaria","Moderado","Masculino",63
23,67,"Alto","Medio","No",6,94,"Baja","Si",1,"Medio","Media","Publica","Positiva",2,"No","Universitaria","Lejos","Masculino",66
17,98,"Bajo","Alto","No",6,87,"Alta","No",3,"Medio","Media","Privada","Positiva",5,"No","Universitaria","Cerca","Femenino",71
14,90,"Alto","Medio","Si",8,57,"Media","Si",0,"Medio","Media","Publica","Positiva",3,"Si","Universitaria","Moderado","Masculino",66
24,68,"Medio","Medio","No",9,71,"Media","Si",2,"Medio","Media","Publica","Neutral",4,"No","Universitaria","Cerca","Masculino",66
21,74,"Medio","Alto","No",6,66,"Baja","Si",1,"Medio","Alta","Privada","Negativa",4,"No","Secundaria","Cerca","Masculino",66
17,92,"Alto","Alto","Si",9,90,"Media","Si",1,"Alto","Baja","Publica","Positiva",3,"No",NA,"Moderado","Masculino",71
12,88,"Medio","Medio","Si",7,86,"Alta","Si",3,"Medio","Alta","Publica","Positiva",3,"Si","Secundaria","Moderado","Masculino",68
25,91,"Medio","Medio","No",8,74,"Alta","Si",1,"Medio","Alta","Privada","Positiva",3,"No","Universitaria","Moderado","Masculino",71
24,78,"Medio","Medio","Si",9,91,"Baja","Si",0,"Alto","Alta","Publica","Negativa",3,"No","Postgrado","Lejos","Femenino",68
19,89,"Bajo","Medio","No",8,71,"Media","Si",2,"Bajo","Alta","Publica","Positiva",4,"No","Secundaria","Cerca","Masculino",68
31,75,"Medio","Medio","No",7,90,"Baja","Si",2,"Medio","Alta","Publica","Neutral",2,"Si","Secundaria","Moderado","Masculino",68
14,68,"Medio","Medio","Si",6,52,"Media","Si",2,"Bajo","Media","Publica","Positiva",2,"No","Universitaria","Cerca","Masculino",62
11,85,"Alto","Bajo","Si",10,57,"Alta","Si",0,"Medio","Alta","Publica","Neutral",5,"No","Secundaria","Cerca","Masculino",65
16,99,"Bajo","Alto","No",6,88,"Alta","Si",2,"Bajo","Baja","Publica","Neutral",3,"No","Postgrado","Cerca","Masculino",71
20,72,"Medio","Alto","Si",7,56,"Baja","Si",0,"Bajo","Media","Publica","Negativa",6,"Si","Universitaria","Moderado","Masculino",63
21,78,"Alto","Medio","No",8,84,"Baja","Si",1,"Alto","Baja","Publica","Positiva",4,"No","Secundaria","Cerca","Masculino",68
19,87,"Alto","Bajo","Si",8,86,"Baja","Si",1,"Medio","Alta","Publica","Positiva",4,"No","Secundaria","Moderado","Femenino",69
22,82,"Alto","Alto","No",10,83,"Media","Si",1,"Bajo","Alta","Privada","Neutral",2,"Si","Universitaria","Moderado","Masculino",69
12,94,"Medio","Alto","Si",7,91,"Baja","Si",3,"Medio","Media","Privada","Positiva",3,"No","Postgrado","Cerca","Femenino",71
29,90,"Medio","Alto","No",7,76,"Media","Si",0,"Bajo","Media","Publica","Neutral",1,"No","Postgrado","Moderado","Femenino",71
20,62,"Medio","Medio","Si",9,95,"Baja","Si",0,"Medio","Media","Privada","Neutral",3,"Si","Secundaria","Cerca","Masculino",62
27,100,"Bajo","Bajo","Si",7,78,"Baja","Si",2,"Medio","Media","Publica","Negativa",2,"No","Secundaria","Cerca","Masculino",70
22,90,"Alto","Alto","No",8,75,"Alta","Si",1,"Bajo","Baja","Privada","Neutral",3,"No","Universitaria","Moderado","Masculino",70
23,95,"Medio","Medio","Si",7,75,"Media","Si",2,"Alto","Media","Publica","Positiva",2,"No","Universitaria","Cerca","Masculino",73
23,86,"Medio","Alto","Si",8,96,"Baja","Si",3,"Medio","Media","Privada","Positiva",2,"No","Secundaria","Moderado","Femenino",71
23,94,"Medio","Bajo","Si",8,62,"Media","Si",2,"Bajo","Media","Publica","Positiva",0,"No","Postgrado","Moderado","Femenino",69
24,64,"Medio","Alto","Si",6,85,"Alta","Si",0,"Alto","Baja","Privada","Neutral",3,"Si","Postgrado",NA,"Masculino",66
28,74,"Medio","Bajo","Si",4,62,"Media","Si",1,"Bajo","Media","Privada","Neutral",3,"No","Secundaria","Moderado","Masculino",65
21,95,"Alto","Medio","No",4,55,"Media","Si",2,"Medio","Alta","Privada","Neutral",1,"No","Universitaria","Cerca","Masculino",71
24,68,"Medio","Medio","Si",4,98,"Alta","Si",2,"Medio","Alta","Publica","Negativa",2,"No","Secundaria","Cerca","Masculino",68
19,63,"Medio","Alto","Si",7,56,"Media","Si",2,"Bajo","Media","Privada","Positiva",3,"No","Secundaria","Cerca","Femenino",64
29,92,"Bajo","Bajo","Si",4,84,"Media","Si",2,"Bajo","Media","Publica","Negativa",3,"No","Postgrado","Cerca","Masculino",71
16,93,"Bajo","Medio","No",7,71,"Media","Si",0,"Medio","Alta","Publica","Positiva",2,"No","Secundaria","Cerca","Masculino",67
31,67,"Medio","Bajo","No",7,92,"Alta","Si",2,"Medio","Media","Publica","Negativa",3,"No","Secundaria","Lejos","Femenino",66
20,94,"Bajo","Alto","Si",8,89,"Media","Si",1,"Bajo","Media","Publica","Positiva",4,"No","Secundaria","Cerca","Masculino",71
11,87,"Bajo","Medio","No",8,57,"Alta","Si",0,"Bajo","Media","Publica","Negativa",2,"No","Secundaria","Moderado","Masculino",62
21,81,"Alto","Medio","No",8,73,"Media","Si",3,"Bajo","Media","Publica","Positiva",2,"Si","Secundaria","Cerca","Masculino",67
16,93,"Medio","Bajo","Si",8,51,"Media","Si",3,"Bajo","Media","Publica","Neutral",2,"No","Universitaria","Cerca","Masculino",67
25,77,"Bajo","Medio","Si",7,71,"Media","Si",0,"Medio","Media","Publica","Negativa",3,"No","Secundaria","Cerca","Femenino",66
16,68,"Bajo","Medio","Si",7,85,"Alta","Si",1,"Bajo","Alta","Privada","Positiva",3,"No","Postgrado","Moderado","Femenino",64
17,71,"Bajo","Medio","Si",6,62,"Media","Si",2,"Bajo","Media","Publica","Neutral",3,"Si","Universitaria","Cerca","Masculino",62
9,80,"Medio","Alto","No",7,91,"Baja","Si",1,"Medio","Media","Publica","Neutral",3,"No","Universitaria","Cerca","Femenino",65
17,81,"Medio","Bajo","Si",5,53,"Baja","Si",0,"Medio","Media","Publica","Neutral",1,"No","Universitaria","Cerca","Masculino",63
5,92,"Medio","Medio","Si",9,52,"Media","Si",2,"Alto","Media","Privada","Neutral",4,"Si","Universitaria","Moderado","Femenino",64
10,92,"Bajo","Alto","Si",6,51,"Baja","Si",1,"Medio","Media","Privada","Neutral",3,"No","Secundaria","Cerca","Femenino",65
25,83,"Medio","Alto","No",7,64,"Media","Si",0,"Bajo","Media","Publica","Neutral",2,"No","Universitaria","Moderado","Masculino",68
25,91,"Medio","Alto","Si",7,73,"Media","Si",2,"Bajo","Media","Publica","Positiva",3,"No","Secundaria","Cerca","Femenino",72
23,68,"Medio","Medio","Si",9,55,"Media","Si",0,"Bajo","Media","Publica","Positiva",3,"No","Universitaria","Moderado","Masculino",64
14,62,"Alto","Medio","No",4,100,"Baja","Si",1,"Bajo","Media","Publica","Neutral",3,"No","Secundaria","Cerca","Masculino",62
20,95,"Medio","Bajo","Si",7,100,"Baja","No",3,"Bajo","Media","Privada","Neutral",2,"No","Secundaria","Cerca","Femenino",69
20,63,"Bajo","Bajo","Si",8,76,"Media","Si",3,"Medio","Media","Publica","Neutral",4,"No","Postgrado","Cerca","Femenino",64
13,70,"Alto","Medio","No",10,78,"Media","Si",1,"Bajo","Media","Publica","Negativa",2,"No","Secundaria","Lejos","Femenino",61
29,88,"Medio","Alto","No",7,96,"Baja","Si",2,"Bajo","Baja","Publica","Positiva",2,"No","Secundaria","Cerca","Femenino",72
25,76,"Medio","Bajo","Si",6,88,"Baja","Si",1,"Medio","Media","Privada","Negativa",3,"No","Universitaria","Lejos","Masculino",66
19,95,"Alto","Bajo","No",10,58,"Baja","Si",2,"Alto","Media","Publica","Positiva",3,"No","Secundaria","Cerca","Masculino",69
20,72,"Medio","Medio","No",8,90,"Alta","No",2,"Bajo","Baja","Privada","Neutral",2,"No","Universitaria","Cerca","Femenino",65
21,60,"Alto","Medio","Si",9,62,"Media","Si",2,"Bajo","Media","Publica","Positiva",3,"No","Secundaria","Cerca","Masculino",64
8,72,"Bajo","Medio","Si",5,72,"Media","Si",3,"Alto","Baja","Privada","Positiva",4,"No","Secundaria","Cerca","Femenino",62
19,83,"Medio","Medio","No",8,77,"Alta","Si",1,"Bajo","Media","Publica","Positiva",4,"No","Secundaria","Lejos","Masculino",66
16,75,"Bajo","Bajo","Si",5,86,"Media","Si",0,"Bajo","Media","Publica","Positiva",1,"No","Universitaria","Moderado","Femenino",62
14,81,"Medio","Medio","Si",5,58,"Alta","Si",3,"Bajo","Alta","Publica","Negativa",4,"No","Postgrado","Moderado","Masculino",66
18,95,"Medio","Alto","No",8,54,"Media","Si",2,"Alto","Media","Publica","Neutral",3,"No","Universitaria","Moderado","Femenino",70
31,96,"Medio","Medio","Si",8,93,"Baja","Si",3,"Bajo","Media","Publica","Positiva",3,"No","Secundaria","Cerca","Masculino",75
24,71,"Bajo","Alto","Si",6,91,"Media","Si",3,"Alto","Media","Publica","Neutral",2,"No","Secundaria","Lejos","Femenino",67
17,78,"Bajo","Medio","Si",9,76,"Baja","Si",4,"Medio","Media","Publica","Positiva",2,"No","Universitaria","Cerca","Masculino",66
23,82,"Medio","Alto","No",6,83,"Media","Si",2,"Medio","Media","Privada","Positiva",3,"No","Postgrado","Moderado","Masculino",71
28,98,"Alto","Medio","Si",7,86,"Media","Si",2,"Medio","Alta","Privada","Neutral",2,"No","Secundaria","Cerca","Femenino",75
26,100,"Alto","Alto","No",7,74,"Baja","Si",1,"Medio","Media","Publica","Neutral",2,"No","Secundaria","Lejos","Femenino",72
20,69,"Alto","Medio","No",7,63,"Baja","Si",2,"Bajo","Media","Privada","Negativa",2,"No",NA,"Moderado","Femenino",64
16,89,"Medio","Medio","Si",9,74,"Media","No",1,"Bajo","Media","Publica","Neutral",3,"No","Secundaria","Lejos","Masculino",65
24,75,"Bajo","Medio","No",5,98,"Alta","Si",1,"Bajo","Media","Publica","Positiva",3,"No","Secundaria","Cerca","Masculino",67
22,60,"Medio","Medio","No",6,92,"Baja","Si",2,"Bajo","Alta","Publica","Negativa",2,"No","Secundaria","Cerca","Masculino",63
25,60,"Medio","Bajo","Si",5,73,"Baja","Si",1,"Medio","Media","Publica","Negativa",2,"No","Secundaria","Cerca","Masculino",62
24,78,"Bajo","Alto","Si",10,61,"Alta","Si",2,"Medio","Media","Publica","Positiva",4,"No","Universitaria","Moderado","Femenino",69
26,80,"Medio","Medio","Si",7,94,"Media","Si",1,"Bajo","Media","Privada","Positiva",2,"No","Postgrado","Moderado","Masculino",70
17,61,"Bajo","Medio","Si",6,82,"Alta","Si",0,"Medio","Alta","Publica","Neutral",4,"No","Postgrado","Cerca","Masculino",63
28,87,"Medio","Medio","Si",7,70,"Media","Si",2,"Bajo","Media","Publica","Neutral",2,"No","Postgrado","Cerca","Masculino",71
21,72,"Medio","Bajo","Si",8,56,"Media","Si",0,"Bajo","Media","Publica","Neutral",4,"No","Secundaria","Cerca","Masculino",63
32,82,"Bajo","Medio","Si",8,88,"Baja","Si",0,"Alto","Media","Publica","Positiva",2,"No","Universitaria","Moderado","Masculino",71
16,72,"Medio","Medio","Si",6,66,"Baja","Si",0,"Bajo","Media","Privada","Positiva",4,"No","Universitaria","Cerca","Masculino",63
30,67,"Medio","Alto","Si",6,80,"Alta","Si",0,"Bajo","Media","Publica","Neutral",4,"No",NA,"Moderado","Masculino",68
21,76,"Medio","Bajo","Si",5,78,"Alta","No",0,"Bajo","Alta","Publica","Neutral",3,"No","Secundaria","Cerca","Masculino",65
16,69,"Alto","Alto","Si",7,85,"Media","Si",0,"Alto","Alta","Privada","Negativa",3,"No","Secundaria","Cerca","Femenino",66
17,81,"Bajo","Medio","Si",9,77,"Media","Si",3,"Bajo","Media","Publica","Neutral",4,"No","Universitaria","Lejos","Masculino",66
18,68,"Alto","Alto","No",6,82,"Baja","Si",0,"Medio","Alta","Publica","Positiva",3,"No","Secundaria","Cerca","Masculino",66
23,80,"Bajo","Bajo","Si",8,54,"Media","Si",0,"Medio","Alta","Privada","Positiva",2,"No",NA,"Cerca","Femenino",65
23,66,"Medio","Alto","No",6,83,"Media","Si",0,"Alto","Media","Publica","Positiva",2,"No","Secundaria","Cerca","Femenino",66
17,87,"Medio","Medio","Si",5,60,"Media","Si",4,"Medio","Media","Privada","Positiva",3,"Si","Secundaria","Cerca","Femenino",67
20,90,"Alto","Medio","No",8,70,"Media","Si",0,"Medio","Media","Privada","Neutral",3,"No","Secundaria","Moderado","Femenino",68
33,64,"Medio","Bajo","Si",10,76,"Baja","Si",2,"Alto","Alta","Privada","Neutral",3,"No","Secundaria","Cerca","Masculino",68
30,79,"Bajo","Medio","No",8,84,"Media","Si",3,"Bajo","Media","Privada","Negativa",3,"No","Universitaria","Moderado","Femenino",69
23,63,"Medio","Bajo","Si",6,87,"Baja","Si",1,"Medio","Media","Publica","Neutral",2,"No","Postgrado","Cerca","Masculino",64
20,84,"Medio","Medio","No",6,85,"Media","Si",0,"Medio","Media","Privada","Positiva",3,"No","Secundaria","Moderado","Masculino",67
21,71,"Medio","Medio","Si",10,55,"Baja","Si",1,"Medio","Media","Publica","Negativa",4,"No","Secundaria","Moderado","Femenino",63
24,81,"Bajo","Alto","Si",7,69,"Media","Si",3,"Bajo","Media","Publica","Negativa",3,"No","Universitaria",NA,"Masculino",67
14,81,"Medio","Alto","Si",6,64,"Baja","No",2,"Alto","Alta","Publica","Neutral",2,"No","Secundaria","Lejos","Femenino",64
18,97,"Bajo","Medio","No",7,70,"Baja","Si",0,"Alto","Media","Publica","Neutral",2,"Si","Secundaria","Cerca","Femenino",66
10,82,"Alto","Medio","No",7,82,"Baja","Si",2,"Bajo","Alta","Privada","Neutral",4,"No","Secundaria","Cerca","Masculino",65
22,83,"Medio","Medio","Si",8,60,"Baja","No",4,"Medio","Media","Publica","Neutral",2,"No","Postgrado","Moderado","Femenino",68
24,76,"Bajo","Alto","No",9,75,"Baja","Si",0,"Bajo","Media","Privada","Positiva",5,"No","Secundaria","Cerca","Masculino",66
17,98,"Alto","Alto","No",9,94,"Baja","Si",0,"Alto","Baja","Publica","Negativa",3,"No","Universitaria","Cerca","Masculino",71
29,91,"Medio","Alto","Si",7,87,"Media","No",2,"Medio","Alta","Privada","Negativa",4,"No","Universitaria","Cerca","Femenino",74
13,71,"Medio","Alto","No",7,86,"Baja","Si",2,"Bajo","Media","Publica","Positiva",3,"No","Postgrado","Cerca","Masculino",65
11,94,"Bajo","Alto","Si",8,92,"Alta","Si",0,"Medio","Media","Publica","Neutral",4,"No","Secundaria","Cerca","Femenino",68
21,77,"Medio","Alto","Si",6,70,"Baja","No",2,"Alto","Media","Privada","Positiva",2,"No","Universitaria","Cerca","Masculino",68
26,93,"Medio","Medio","No",8,88,"Media","Si",1,"Medio","Alta","Publica","Neutral",4,"Si","Universitaria","Cerca","Masculino",72
30,93,"Alto","Alto","Si",7,53,"Media","Si",3,"Bajo","Media","Privada","Negativa",2,"No","Postgrado","Moderado","Femenino",74
17,68,"Bajo","Alto","No",8,53,"Media","Si",0,"Bajo","Media","Publica","Neutral",2,"No","Universitaria","Cerca","Masculino",61
26,88,"Bajo","Bajo","No",10,67,"Baja","Si",0,"Bajo","Baja","Privada","Positiva",3,"No","Secundaria","Lejos","Masculino",65
20,72,"Alto","Bajo","No",8,60,"Baja","Si",0,"Bajo","Media","Publica","Neutral",5,"No","Secundaria","Cerca","Masculino",63
19,72,"Alto","Medio","Si",7,76,"Media","Si",1,"Medio","Alta","Publica","Positiva",2,"No","Secundaria","Moderado","Femenino",66
25,72,"Bajo","Alto","Si",6,59,"Media","Si",2,"Bajo","Media","Publica","Negativa",3,"No","Secundaria","Cerca","Masculino",66
24,89,"Alto","Medio","Si",7,99,"Media","Si",2,"Bajo","Alta","Privada","Neutral",4,"No","Secundaria","Cerca","Femenino",73
11,69,"Medio","Medio","No",5,93,"Media","Si",0,"Medio","Alta","Publica","Negativa",4,"No","Universitaria","Cerca","Masculino",63
29,60,"Alto","Alto","Si",8,99,"Media","Si",0,"Medio","Media","Publica","Positiva",4,"Si","Secundaria",NA,"Femenino",68
28,89,"Alto","Bajo","Si",4,90,"Alta","Si",3,"Bajo","Alta","Publica","Positiva",2,"Si","Postgrado","Moderado","Femenino",73
16,67,"Bajo","Alto","Si",8,98,"Media","Si",0,"Alto","Baja","Privada","Negativa",3,"No","Secundaria","Moderado","Masculino",63
22,64,"Medio","Alto","Si",8,68,"Media","Si",2,"Medio","Media","Publica","Negativa",4,"No","Secundaria","Cerca","Masculino",65
23,70,"Bajo","Alto","Si",7,75,"Alta","Si",0,"Bajo","Media","Publica","Positiva",4,"No",NA,"Cerca","Femenino",66
22,75,"Bajo","Bajo","Si",6,62,"Media","Si",0,"Alto","Alta","Publica","Negativa",3,"No","Postgrado","Cerca","Femenino",65
17,79,"Bajo","Alto","Si",7,82,"Media","Si",0,"Medio","Alta","Publica","Negativa",2,"No","Universitaria","Cerca","Masculino",66
16,62,"Alto","Medio","No",4,89,"Alta","Si",3,"Bajo","Media","Publica","Neutral",3,"No","Universitaria","Cerca","Femenino",65
20,99,"Medio","Medio","No",8,75,"Media","Si",2,"Bajo","Alta","Privada","Negativa",2,"No","Postgrado","Lejos","Femenino",70
27,89,"Medio","Medio","No",7,65,"Media","Si",1,"Medio","Media","Publica","Neutral",3,"No","Secundaria","Cerca","Femenino",70
23,73,"Alto","Medio","Si",9,75,"Media","Si",0,"Alto","Alta","Privada","Positiva",3,"No","Secundaria","Moderado","Femenino",68
18,73,"Medio","Alto","No",8,53,"Media","No",1,"Bajo","Alta","Publica","Neutral",3,"No","Postgrado","Moderado","Masculino",64
25,78,"Medio","Medio","No",7,86,"Media","Si",1,"Medio","Media","Publica","Negativa",3,"No","Postgrado","Moderado","Femenino",68
3,85,"Bajo","Alto","No",8,73,"Baja","Si",2,"Bajo","Media","Privada","Neutral",3,"No","Secundaria","Cerca","Masculino",62
27,66,"Medio","Medio","Si",6,95,"Media","Si",1,"Medio",NA,"Publica","Positiva",3,"No","Universitaria","Moderado","Masculino",68
10,68,"Bajo","Medio","No",6,96,"Baja","Si",1,"Alto","Media","Publica","Neutral",3,"No","Universitaria","Moderado","Masculino",61
18,94,"Alto","Medio","Si",7,56,"Baja","No",1,"Bajo","Media","Publica","Positiva",3,"No","Postgrado","Cerca","Masculino",69
13,70,"Medio","Medio","Si",7,100,"Media","Si",3,"Bajo","Media","Publica","Neutral",3,"No","Secundaria","Cerca","Masculino",65
12,75,"Medio","Alto","Si",6,98,"Media","Si",2,"Bajo","Media","Publica","Neutral",2,"No","Universitaria","Lejos","Masculino",65
27,95,"Medio","Alto","No",7,81,"Baja","Si",3,"Bajo","Media","Publica","Neutral",2,"No","Secundaria","Moderado","Masculino",72
17,87,"Medio","Medio","Si",7,91,"Alta","Si",3,"Bajo","Alta","Publica","Positiva",3,"Si","Universitaria","Cerca","Femenino",70
22,74,"Medio","Alto","Si",10,51,"Media","No",1,"Medio","Media","Privada","Negativa",4,"No","Secundaria","Cerca","Masculino",65
20,87,"Medio","Medio","No",7,99,"Media","Si",3,"Bajo","Media","Publica","Negativa",3,"No","Secundaria","Cerca","Masculino",69
23,61,"Alto","Bajo","Si",6,73,"Media","Si",1,"Medio","Media","Publica","Positiva",3,"No","Universitaria","Cerca","Masculino",65
20,89,"Bajo","Medio","Si",7,95,"Baja","Si",3,"Bajo","Media","Privada","Neutral",2,"No","Secundaria","Cerca","Masculino",69
12,79,"Bajo","Medio","Si",9,69,"Media","Si",2,"Bajo","Alta","Publica","Neutral",3,"No","Postgrado","Cerca","Masculino",65
26,93,"Medio","Alto","Si",9,89,"Media","Si",0,"Bajo","Media","Publica","Neutral",3,"No","Universitaria","Moderado","Masculino",72
17,98,"Alto","Bajo","Si",10,71,"Media","Si",0,"Bajo","Alta","Privada","Positiva",3,"No","Postgrado","Moderado","Femenino",70
11,97,"Medio","Medio","Si",7,68,"Baja","Si",0,"Bajo","Media","Privada","Negativa",2,"No","Secundaria","Moderado","Femenino",64
17,96,"Medio","Bajo","No",8,97,"Baja","Si",0,"Medio","Media","Publica","Negativa",3,"No","Secundaria","Cerca","Femenino",67
29,80,"Medio","Bajo","No",5,85,"Alta","Si",0,"Alto","Alta","Publica","Neutral",2,"No","Secundaria","Moderado","Masculino",69
25,74,"Bajo","Medio","Si",6,92,"Baja","Si",4,"Medio","Media","Privada","Positiva",3,"No","Postgrado","Cerca","Masculino",70
18,79,"Medio","Medio","Si",5,77,"Baja","Si",1,"Bajo","Alta","Publica","Neutral",3,"No","Secundaria","Cerca","Masculino",65
18,88,"Alto","Alto","Si",8,96,"Baja","Si",1,"Bajo","Media","Publica","Positiva",3,"No","Secundaria","Lejos","Femenino",69
18,95,"Alto","Medio","Si",7,87,"Alta","Si",5,"Medio","Media","Publica","Neutral",2,"No","Universitaria","Cerca","Masculino",74
32,68,"Bajo","Medio","Si",7,54,"Media","Si",1,"Bajo","Media","Privada","Neutral",1,"No","Postgrado","Cerca","Masculino",66
22,97,"Medio","Medio","Si",6,88,"Alta","Si",1,"Bajo","Baja","Privada","Positiva",4,"No","Universitaria","Cerca","Masculino",72
23,93,"Medio","Bajo","Si",8,51,"Alta","No",0,"Bajo","Alta","Privada","Positiva",1,"No","Secundaria",NA,"Masculino",67
26,99,"Bajo","Alto","Si",4,91,"Alta","Si",2,"Alto","Baja","Publica","Neutral",4,"No","Postgrado","Moderado","Femenino",75
21,95,"Medio","Bajo","Si",7,67,"Media","Si",3,"Medio","Media","Publica","Positiva",2,"No","Universitaria","Lejos","Femenino",70
18,71,"Bajo","Bajo","No",7,80,"Media","Si",1,"Medio","Baja","Publica","Neutral",4,"No","Postgrado","Moderado","Femenino",63
19,64,"Medio","Medio","No",4,87,"Alta","Si",2,"Medio","Media","Privada","Positiva",4,"No","Secundaria","Moderado","Masculino",65
20,64,"Medio","Alto","No",8,82,"Media","Si",3,"Medio","Baja","Publica","Negativa",3,"No","Secundaria","Moderado","Femenino",64
20,72,"Medio","Alto","No",7,84,"Baja","Si",2,"Medio","Alta","Publica","Negativa",2,"No","Secundaria","Moderado","Femenino",65
24,85,"Medio","Medio","Si",8,95,"Media","Si",2,"Medio","Media","Publica","Negativa",4,"No","Secundaria","Cerca","Femenino",70
20,92,"Medio","Bajo","No",10,69,"Media","Si",0,"Bajo","Media","Publica","Positiva",2,"No","Postgrado","Lejos","Masculino",67
24,96,"Medio","Medio","Si",7,77,"Baja","No",0,"Bajo","Media","Publica","Negativa",2,"Si","Secundaria","Cerca","Femenino",67
20,85,"Medio","Alto","No",8,59,"Media","Si",1,"Medio","Media","Publica","Positiva",3,"No","Postgrado","Lejos","Femenino",68
20,60,"Medio","Medio","No",9,73,"Alta","Si",4,"Medio","Media","Publica","Negativa",4,"No","Universitaria","Cerca","Masculino",65
8,67,"Alto","Medio","Si",8,58,"Baja","Si",2,"Medio","Media","Publica","Positiva",1,"No","Postgrado","Moderado","Femenino",61
25,64,"Medio","Bajo","Si",6,82,"Baja","Si",2,"Bajo","Media","Publica","Negativa",3,"No","Secundaria","Moderado","Femenino",63
22,75,"Medio","Bajo","Si",5,66,"Baja","Si",2,"Bajo","Media","Publica","Positiva",2,"No","Secundaria","Lejos","Masculino",80
26,80,"Medio","Medio","Si",8,93,"Media","Si",2,"Bajo","Baja","Publica","Neutral",1,"No","Postgrado","Moderado","Masculino",69
3,62,"Medio","Bajo","No",6,67,"Media","Si",1,"Bajo","Media","Publica","Negativa",3,"No","Secundaria","Cerca","Masculino",55
33,74,"Medio","Medio","No",9,64,"Media","Si",2,"Medio","Media","Privada","Neutral",4,"No","Postgrado","Cerca","Femenino",70
19,67,"Medio","Medio","Si",6,75,"Alta","Si",1,"Bajo","Media","Publica","Neutral",3,"No","Universitaria","Cerca","Femenino",65
27,86,"Bajo","Medio","Si",7,59,"Baja","Si",1,"Medio","Media","Publica","Neutral",3,"No","Secundaria","Cerca","Masculino",68
14,79,"Medio","Bajo","Si",5,60,"Media","Si",3,"Bajo","Media","Publica","Negativa",5,"No","Secundaria","Cerca","Masculino",64
24,80,"Medio","Medio","No",6,89,"Media","Si",1,"Bajo","Alta","Publica","Neutral",3,"No","Universitaria","Cerca","Masculino",69
14,77,"Bajo","Alto","No",6,75,"Media","Si",1,"Medio","Alta","Publica","Neutral",4,"Si","Secundaria","Cerca","Femenino",89
